CSIS 301,C Programming in Unix,,1 credits,"This course is an introduction to C programming using the Unix operating system. The course is designed for individuals who understand programming constructs and concepts in another programming language. No prior Unix experience is necessary. Students will develop a proficiency with Unix and the C programming language that will be helpful for upper-level courses, particularly CSIS - 330. Operating Systems and CSIS - 335. Parallel Processing & HPC. Topics include basic C syntax and program structure, separate compilation, functions, structures, pointers, and memory management. Unix tools including the Emacs editor, the Make utility, the GNU C compiler, and the GNU debugger will be used. Prerequisites: CSIS-210. (ATTR: ARTS)"
CSIS 306,Advanced Cyber Securtiy,,3 credits, "The advanced course in cyber security covers attack techniques and proactive ways to mitigate risks. Topics include ethical hacking, penetration testing, advanced data communications, cloud computing, and application security techniques. Course will include lectures and hands-on components. Computer Science Lab Fee. Prerequisite(s): CSIS 110 OR CSIS 114 OR CSIS 180 OR CSIS 200 OR CSIS 201 OR CSIS 205. (ATTR: ARTS)"
CSIS 330,Operating Systems," (2 hours lecture, 2 hours laboratory)", 3 credits,"A study of processor, memory, device, and information management of contemporary computer systems. Emphasis is placed on the models and algorithms for multi-programming computer operating systems. Discussion will include classic problems such as the concurrency problems of mutual exclusion, deadlock and synchronization, and memory management concepts such as paging, working set and segmentation. The laboratory includes an introduction to the UNIX operating system, an introduction to programming in an appropriate systems language, such as C, and experiments designed to confirm or extend the principles developed in lecture. Prerequisite: CSIS-210 and CSIS-220. Lab fee. (ATTR: ARTS)"
CSIS 350,Database Management Systems,,3 credits,"A hands-on study of database management systems, based on the entity-relationship and relational data models. Topics will include logical and physical database design (including E/R modeling, normalization, memory management, and indexing), transactions/concurrency, query processing/optimization algorithms, and query languages (primarily relational algebra and SQL). Problems such as security and integrity of the data will also be discussed. Additional topics may include recovery, object-relational extensions, semistructured data and languages (e.g. XML/Xquery), application development (e.g. PL/SQL, PHP), or distributed systems. Prerequisite: CSIS-210. Computer use fee. (ATTR: ARTS, DASC, ISCE)"
CSIS 365,Communications and Networks ,,3 credits,"A survey of data communication and networks. Topics to be covered include techniques of transmission, protocols for line control, error detection and correction, communication software, various types of network systems, distributed applications, and performance evaluation. Prerequisite: CSIS-210 or CSIS-220. (ATTR: ARTS)"
CSIS 370,Robotics,,3 credits,"Robotics is a subfield of artificial intelligence that utilizes technology to complete tasks that humans would normally complete. This course is an introduction to robotics, with an emphasis on mobile robots operating in human-scale environments. Students will gain an understanding of the basic theory and practice of mobile robots and human-machine interaction. Topics include: Robot Operating System (ROS), Open Source Computer Vision (OpenCV), Client/Server Communication, the Linux Operating System and the Python Programming Language. Students will work in teams to implement a challenging robotic task. Permission on Instructor required. (ATTR: ARTS)"
CSIS 400,Problem Solving,,1 credit, "Permission of Instructor Required. (ATTR:ARTS, Info Systems Certificate)"
CSIS 410,Software Engineering I ," (2 hours lecture, 2 hours laboratory)",3 credits,"Presents principles of software engineering, including the software development life cycle (SDLC); i.e. the planning, creating, testing, and deploying an information system. This course introduces various software development project management models, with a focus on the Agile Scrum framework. Students work in teams with a client to design and develop a large-scale software application. Prerequisite: CSIS-225 with a grade of C- or better. Requires senior class standing. Lab fee. (ATTR: ARTS, ISCE)"
CSIS 411,Senior Seminar,"(2 Hour Seminar)", 1 credit, "This 1-credit seminar course prepares students across all computer science concentrations to be career ready by focusing on both employability and promotability skills within the tech sector. The course meets two hours per week in an interactive format. Throughout the course students will develop application materials (resumes, cover letters and professional social media presence), professional communication and interviewing skills, online technical portfolios, and explore technical careers and graduate programs through informational interviews and guest speakers. Restriction(s): Computer Science Majors with Senior Status.(ATTR: ARTS, NOEX)"
CSIS 499,Independent Study,,1-3 credits,"A qualified student, with the consent of the Head of the Computer Science Department, may pursue further research and study in some specific aspect of computer science. The student will be directed by a member of the Computer Science Department with whom he/she will hold periodic discussion. The student will be expected to comply with all School of Science guidelines concerning such projects. The number of credits to be awarded (1 - 3) will be determined by the Head of the Computer Science Department and the directing faculty member. Computer use fee. This course is arranged by mutual consent of the faculty member and student. (ATTR: ARTS)"
CSIS SSX,Spreadsheet Exam,, 0 credits,"This course will be awarded to School of Business students passing the department's spreadsheet exam. No registration is required. This is one of three ways to satisfy the School of Business spreadsheet requirement; the others are completion of CSIS-010 or CSIS-011. Similarly, this serves as one possible prerequisite to certain CSIS and Business courses."
